iter	MultiClass
0	1.338610254
1	1.297795935
2	1.264004335
3	1.235011652
4	1.210353274
5	1.186962138
6	1.167844536
7	1.150539842
8	1.135989175
9	1.123472106
10	1.112020138
11	1.101187977
12	1.092130176
13	1.084202447
14	1.075344419
15	1.068413102
16	1.061873138
17	1.056223742
18	1.050673915
19	1.046557641
20	1.042269985
21	1.037689994
22	1.034538691
23	1.031395904
24	1.028246302
25	1.025611357
26	1.022640624
27	1.020790009
28	1.018564337
29	1.01598835
30	1.014217371
31	1.012133044
32	1.010511947
33	1.008652023
34	1.006719374
35	1.005525413
36	1.004356625
37	1.002701531
38	1.001491744
39	1.000529979
40	0.9988425522
41	0.9977714712
42	0.9970153396
43	0.9962979242
44	0.9952496613
45	0.9940874023
46	0.9931533992
47	0.9921519621
48	0.9908184336
49	0.9902547528
50	0.9897989013
51	0.9892487471
52	0.9883157057
53	0.9878146159
54	0.9871560314
55	0.986445893
56	0.9860916506
57	0.9854667699
58	0.9849381551
59	0.9844132519
60	0.9838795809
61	0.9832124492
62	0.9826354189
63	0.9822316873
64	0.9811893854
65	0.9806486367
66	0.9799093716
67	0.979010611
68	0.9782094407
69	0.9773952957
70	0.9765611821
71	0.9760147578
72	0.9753614415
73	0.9746741914
74	0.9738183162
75	0.9731732312
76	0.972742001
77	0.9722557767
78	0.9714385351
79	0.9708256439
80	0.9699021521
81	0.9693276343
82	0.9685781174
83	0.9677470752
84	0.9672225947
85	0.9666726609
86	0.9663931251
87	0.9655971294
88	0.9652107884
89	0.9644923039
90	0.9638204068
91	0.9630624536
92	0.9625285844
93	0.9613781236
94	0.9607758699
95	0.9597253943
96	0.9590344055
97	0.9582661018
98	0.9577367156
99	0.9572025039
100	0.9562269079
101	0.9556328165
102	0.954752738
103	0.9539910898
104	0.9534188204
105	0.9527701964
106	0.952325177
107	0.9514128155
108	0.9509350018
109	0.9501815758
110	0.9496884147
111	0.9491472406
112	0.9487560783
113	0.9481533948
114	0.9472520626
115	0.9461285397
116	0.9452432279
117	0.9443811747
118	0.9438859087
119	0.9432667172
120	0.9426867664
121	0.9419074109
122	0.9413654342
123	0.940842709
124	0.9402613147
125	0.9397255118
126	0.9389976952
127	0.9385215654
128	0.9379086919
129	0.937186955
130	0.9366228274
131	0.9353946163
132	0.9348190685
133	0.9344234116
134	0.9335468229
135	0.9330390129
136	0.932392488
137	0.9317436511
138	0.9311536169
139	0.9304365957
140	0.9300763281
141	0.9294096158
142	0.9289583373
143	0.9285382446
144	0.9278777879
145	0.9275990303
146	0.927054957
147	0.9265645857
148	0.926376071
149	0.9260161004
150	0.9254935456
151	0.9248859578
152	0.9243418199
153	0.9239580144
154	0.9235542533
155	0.9223383482
156	0.9220364533
157	0.9214500514
158	0.9211320679
159	0.9206155394
160	0.9198988281
161	0.9192714311
162	0.9187693509
163	0.9181413358
164	0.917633558
165	0.9171831358
166	0.9166511781
167	0.916235192
168	0.9157738673
169	0.9153795388
170	0.9149172051
171	0.914557939
172	0.9142505928
173	0.9136984013
174	0.9134197481
175	0.91313992
176	0.9125602998
177	0.9120949854
178	0.9115564555
179	0.9111275805
180	0.9106721495
181	0.910274199
182	0.909921515
183	0.9095953247
184	0.9089547257
185	0.9087045836
186	0.9078821512
187	0.9073518295
188	0.9068542444
189	0.9063275759
190	0.9059540386
191	0.9054176328
192	0.9048057167
193	0.9043020028
194	0.9038925541
195	0.9034796033
196	0.9030421885
197	0.9027353773
198	0.9023997125
199	0.9020119039
