iter	Passed	Remaining
0	102	20424
1	145	14380
2	181	11899
3	203	9991
4	225	8803
5	245	7937
6	265	7332
7	287	6899
8	308	6538
9	328	6248
10	348	5979
11	369	5786
12	390	5619
13	410	5449
14	429	5299
15	450	5179
16	470	5062
17	490	4960
18	511	4870
19	533	4799
20	555	4733
21	576	4662
22	595	4583
23	617	4530
24	636	4457
25	656	4393
26	676	4331
27	696	4277
28	717	4229
29	736	4172
30	755	4116
31	774	4063
32	793	4014
33	811	3963
34	831	3918
35	850	3874
36	869	3829
37	888	3788
38	909	3756
39	929	3716
40	947	3674
41	965	3631
42	983	3591
43	1002	3553
44	1020	3516
45	1040	3484
46	1059	3448
47	1078	3414
48	1097	3382
49	1116	3349
50	1135	3316
51	1155	3288
52	1176	3262
53	1196	3234
54	1215	3205
55	1235	3176
56	1254	3148
57	1274	3119
58	1295	3096
59	1316	3071
60	1335	3044
61	1356	3019
62	1376	2992
63	1395	2965
64	1415	2939
65	1435	2914
66	1456	2891
67	1475	2864
68	1494	2838
69	1514	2812
70	1534	2787
71	1553	2761
72	1572	2735
73	1592	2711
74	1612	2688
75	1632	2663
76	1652	2639
77	1672	2615
78	1693	2593
79	1712	2569
80	1731	2543
81	1749	2517
82	1769	2493
83	1790	2471
84	1811	2450
85	1831	2427
86	1850	2403
87	1870	2380
88	1891	2358
89	1910	2334
90	1928	2309
91	1947	2286
92	1967	2263
93	1985	2239
94	2003	2213
95	2021	2189
96	2040	2166
97	2058	2143
98	2078	2120
99	2095	2095
100	2115	2073
101	2135	2051
102	2154	2028
103	2174	2006
104	2196	1987
105	2217	1966
106	2240	1947
107	2260	1926
108	2280	1903
109	2299	1881
110	2319	1859
111	2340	1839
112	2361	1817
113	2382	1797
114	2405	1777
115	2426	1757
116	2445	1735
117	2468	1715
118	2487	1693
119	2508	1672
120	2528	1651
121	2546	1628
122	2566	1606
123	2586	1584
124	2605	1563
125	2623	1540
126	2644	1519
127	2662	1497
128	2682	1476
129	2703	1455
130	2723	1434
131	2741	1412
132	2760	1390
133	2779	1369
134	2800	1348
135	2818	1326
136	2838	1305
137	2857	1283
138	2877	1262
139	2896	1241
140	2917	1220
141	2937	1199
142	2957	1178
143	2976	1157
144	2998	1137
145	3021	1117
146	3043	1097
147	3068	1078
148	3092	1058
149	3117	1039
150	3141	1019
151	3164	999
152	3185	978
153	3206	957
154	3231	938
155	3255	918
156	3279	898
157	3304	878
158	3329	858
159	3355	838
160	3376	817
161	3394	796
162	3411	774
163	3428	752
164	3447	731
165	3465	709
166	3482	688
167	3506	667
168	3533	648
169	3558	627
170	3585	608
171	3614	588
172	3641	568
173	3667	548
174	3695	527
175	3721	507
176	3748	487
177	3774	466
178	3795	445
179	3814	423
180	3833	402
181	3861	381
182	3883	360
183	3902	339
184	3921	317
185	3941	296
186	3961	275
187	3981	254
188	4003	233
189	4027	211
190	4049	190
191	4070	169
192	4090	148
193	4110	127
194	4129	105
195	4148	84
196	4167	63
197	4186	42
198	4202	21
199	4220	0
